Professor	教授
PDF Rendition	PDF譯文
Execute archive now?	即时执行存档?
pending tasks	项待处理工作
Total	共
Permission Different Report	权限差异报告
Permission type	权限类型
Personal Folder	个人资料夹
Add	新增
Archive	存档
Audit Trail	档案日志
Version History	版本历史
Browse Content	浏览
Add	新增
Audit Trail	档案日志
Version History	版本目录
Browse Content	浏览
Copy	复制
Delete	删除
Download	下载
Notification	通知
Check-out	锁定
Update	储存
Permission	设定权限
Visible	检视
Copy	复制
Delete	删除
Download	下载
Notification	通知
Check-out	锁定
Update	储存
Permission	设定权限
Visible	检视
POP3	POP3
Server Print	打印
Print	列印 
Printer Name	打印机名称
Project Folder Name	专案资料夹名称
Personal Profile	更改个人资料
Properties	属性
Content Type	内容类型
Document Name	文件名称
File Properties	档案属性
Type	类型
Folder Properties	资料夹属性
Latest Version	最新版本
Location	位置
Original Name	原始名称
Shortcut Properties	捷径属性
Size	大小
URL Properties	URL属性
Version	版本
Password Expiry days	密码过期日数
Password Pattern	密码设定规则
Password Pattern Description	密码规则说明
Read Receipts	已读邮件确认
Records Per Page	每页记录
Refresh	重新整理
Reindex	重建索引
Reindex All	重建所有索引
Remind	注意
Confirm to remove the attached category form?	确认移除分类表格?
Replace Version	版本取代
Report	报表
Audit Trail Report	追踪报表
Permission Report	权限报表
System General Report	系统报表
User Access Report	使用者权限报告
User / Group Report	使用者及群组报表
Report Type	报告类型 
Repository Path	原始路径
Reset Password	重置密码 
Failed to reset user password.	重设用户密码失败
Reset this user password?<br>(The new password will be send to the user by email, please make sure the email is saved and correct).	重设用户密码?<br>(重设的新密码将发送至用户的邮件信箱, 请确定用户的正确邮件地址已被储存).
The new password will be send to the user by email.	重设的新密码将发送至用户的邮件信箱.
Reset Password successfully	重置密码成功
Retry PDF Rendering	PDF重試譯文
Retry All	重試所有譯文
Role Management	角色管理
Role Name	角色名稱
Save and set Document Type?	储存档案类别?
Attachment (Double Click to save to Library)	附加档案 (双键目标档案来储存至资料夹)
Save succeed	成功储存资料
Save To Library	储存至资料夹
Searchable	可搜寻
Classification	分类叙述
Created Date	建立日期
Search Criteria	搜寻条件
Description	叙述
Document Name	档案名称
Keyword	关键字
Updated Date	更新日期
Yes	是
Search Result	搜尋結果
Select All	全选
Please select one file!	请选择一个文件!
Selected Email (Click to rename Subject as the new Document Name)	已选取邮件 (可修改主题名称来定义新档案名称)
Send Link To Email	发送连结到邮件
To	至
Send Email Notification To User	发送电​​邮通知
Send reset password Email	发送重置密码邮件
File(s) have been sent to printer pool	档案已送到打印机
Session Date	暂存时间
Session timeout returned to the Login page	会话逾时回到登入画面
Shareable link	档案连接
Shortcut Name	捷径名称
Target	目标
Shortcut Report	捷径报告 
Shortcut	捷径
Show searched details	显示详细搜索资料
The change of show detail in search result may effective after next login	显示详细搜索资料的设定改动将於重新登入後生效
Add User License	增加授权数目
Add Storage (GB)	增加容量
Request Trial account	申请帐户试用
Company Name	机构名称尸
Effective Date	生效日期
License Count	用户授权数目
Site ID	雲端網站編號
Site Name	云端网站名称
Status	状况
Total Storage	总容量
Date	发出时间
Subscription Expiry	到期日
No.#	No.#
Type	类别
Description	内容
Trial	帐户试用
Site Logo	网站徽标
Logo will be changed after page refreshed.(Best logo dimensions is 140px * 50px)	徽标将于页面刷新后被更改(最佳徽标像素为140px * 50px)
Only png file allowed	只允许png文件
Only size below 1MB file allowed	只允许大小在1MB以下的文件
Site Management	云端网站管理
Site Summary	云端网站资料
Status	状态
Active	启动
Disable	停用
Locked	被锁定
Subscription Management	订阅设置管理
General Setting	一般设定
SMTP Host	SMTP 主机
SMTP Port	SMTP 连接埠
SMTP Password	SMTP 密码
SSL	SSL
SMTP User Name	SMTP 用户名称
System Email Address	系统邮件
System Email Message	系统预设邮件内容
System Email Setting	系统外送邮件设定
Deadline Notification	截止日期的通知 
Expiry Notification	到期通知 
Email Notification	电邮提示
Message	内容
Request Folder	申请专案资料夹电邮
Reset Password	密码重设电邮
Send Link	发送连结电邮
Subject	主旨
System Configuration	系统管理
System Field	系统
Watermark Setting	水印设置
Table Name	表名 
Approved	已认可
Delete Task	删除工作
New Task	新增工作
Update	更新
Update Document Version	更新文件版本
Closed	已关闭
AssignedTo	被指派者
Created By	建立用户
Status	状态
Task Name	工作名称
Assigned User	被指派者
Related document had been deleted.	相关文件已被删除.
Pending	等待处理
Rejected	已拒绝
Task Document	工作文件
Template Folders Id	模板文件夹編號
Template Folder Level	模板文件夹层级
Template folder Name(s)	范例文件夹名称 
Template Folders	模板文件夹 
Inherit template permission	继承模板权限
Send Testing Mail	发送测试电邮
Theme	主题
Dark Blue	天蓝色
Dark Green	庄园绿
Dark Metal	金属
Dark Red	玫瑰红
Evergreen	绿色
Light Blue	蓝色
Tilt	倾斜
System timeout, To press "Yes" to logout system or press "No" to keep current screen but all action will not be send to the system before relogon system.	由於待机时间超出设定范围, 请按"是"登出系统或按"否"保留现在画面, 但所动作不会被传送至系统直至使用者重登後才可正常操作系统.
Title	职称
Function	功能表
Multi Upload	多档案上传
Top	顶部
Transfer From Group	由用户群组转移
Transfer From User	由使用者转移
Ownership Transfer	转移拥有者
Transfer To Group	到用户群组
Transfer To User	到使用者
Trash	回收资源筒
Next	下一个
Unselect All	取消全选
Move up the selected record?	将已选择的项目往上移动?
Updated By	更新用户
URL Address	URL地址
URL Name	URL名称
By User	依使用者
User Profile	用户状态
User/Group ID	用户/群组 名称
User ID	用户名称
User Permission	使用者权限
User Type	用户类型
Vendor ODBC Connection String	供应商的ODBC连接字串 
Vendor ODBC Table Name	供应商的ODBC表名 
Version	版本
Do you want to proceed the Next File?	你要到下个档案吗?
Reached the end of search result. Do you want to search again?	搜寻完结, 要重新搜寻?
Watermark Content	水印内容
Font Size	字体大小
Layout	布局
Transparent	透明度
Yes	是
Location: 	位置: 
Menu	功能表
Advance Search	进阶搜寻
All Deleted Shelves	已删除的资料夹
Archive Folder	存档资料夹
Audit Logins	登入记录
Category Shelf	资料夹分类
Personal Profile	更改个人资料
Change Password	更改密码
Configuration	系统设置
Corporate	共用资料夹
Forum	讨论区
Forum Management	讨论区管理
Library	资料夹
Login	登入
Logout	登出
Email	我的邮件
Personal	我的资料夹
News & Announcement	最新消息及公告
News Publishing	更改消息及公告
Projects Template	项目模板
System	系统
System Configuration	系统管理
Task	工作
User Group Management	用户群组管理
Workspace	工作区
Loading...	读取中...
Shortcut	捷径
DIKO	DIKO
URL	URL
Welcome back to DIKO	欢迎回来DIKO,
